idx,cos_mean,cos_max,wmd_mean,wmd_min
1,nan,nan,inf,inf
2,nan,nan,inf,inf
3,nan,nan,inf,inf
4,0.6538353087093336,1.0,1.8222784887319994,0.0
5,nan,nan,inf,inf
6,nan,nan,inf,inf
7,0.9007406271340554,0.9748183488845825,1.777483155893048,0.9959324206144979
8,nan,nan,inf,inf
9,nan,nan,inf,inf
11,nan,nan,inf,inf
13,0.7897487163543702,1.0,1.429919910780717,0.0
14,0.5991200864315033,0.8584646582603455,1.6153917589490896,0.9093990003408671
15,0.7615165829658508,1.0,0.9505184454314867,0.0
17,0.7785522937774658,0.9466273188591003,1.266278184490559,0.8788931910238087
19,0.9311161900267881,1.0,0.9855840400599604,0.0
20,0.8216316909120794,0.8807929158210754,2.6439321458419998,1.279512411026914
21,0.7140008279106074,0.8080785274505615,2.1025819056326096,1.2771586761689389
22,0.8152512970723604,0.8854485154151917,2.109123537503908,1.0446913517131537
24,0.8621575848923789,1.0,1.1244435229277174,0.0
25,0.8621575848923789,1.0,1.1244435229277174,0.0
26,0.8621575848923789,1.0,1.1244435229277174,0.0
28,nan,nan,inf,inf
29,0.7141423556539748,1.0,4.625025812219593,3.907991965049366
30,0.7141423556539748,1.0,4.625025812219593,3.907991965049366
31,0.7141423556539748,1.0,4.625025812219593,3.907991965049366
32,0.5051053331957923,0.6339470744132996,4.070473327348404,3.6159999184335527
33,nan,nan,inf,inf
34,nan,nan,inf,inf
35,nan,nan,inf,inf
36,nan,nan,inf,inf
37,0.6394731647828046,0.8254069089889526,4.495974873637046,3.5931678473238478
38,nan,nan,inf,inf
39,0.5020349534118876,0.6183903813362122,4.0968646090003915,3.031095801554273
40,nan,nan,inf,inf
41,0.23646854039500742,0.2705000638961792,4.484317159454419,3.0650497628190734
42,nan,nan,inf,inf
43,0.8625122820410658,1.0,1.6500000252348368,0.0
44,0.40770317486072954,0.6104192137718201,4.4214623661733174,3.490976812812906
45,0.7141423556539748,1.0,4.625025812219593,3.907991965049366
46,0.8035119109683566,0.9210339188575745,1.2901353883469204,0.58539196720936
48,0.8846034854650497,1.0,1.2179949166127861,0.0
49,0.31735912669036126,0.3917194902896881,4.650664708950541,4.370776185299868
51,0.7736008524894714,1.0,1.2886065128069917,0.0
52,0.7261754631996155,1.0,1.3707345315737227,0.0
53,0.6094149351119995,0.6110972166061401,3.9051640883776058,3.8938335693161616
54,0.8612368404865265,0.8640469908714294,0.6964869234460893,0.5802918294119921
55,0.7165591915448507,0.7945188879966736,1.1861507909216717,1.1350453165742693
56,0.783256933093071,0.853415310382843,1.2353369418483124,1.17017266451606
60,0.929515370259098,1.0,1.0806286216398384,0.0
61,0.9207563034275121,0.9928918480873108,1.6849051495559924,0.425923988617749
63,0.8572456286503718,0.9397929310798645,1.7926295971146673,0.7482486432297855
64,0.902636604813429,0.9886438250541687,1.5203816384864943,0.3291318678003084
67,0.5671899380072098,0.7082648277282715,4.091878019744643,3.160143981317103
68,0.6543387931152063,0.7520738840103149,2.5383020857428322,1.3380358714320173
69,0.8231278874538018,1.0,1.7923562763238072,0.0
70,0.9395971055093565,0.9932087063789368,1.4429593259524136,0.5721606520614207
71,0.9356464469119122,0.992128312587738,1.489705904262421,0.3852465375741726
72,0.8944081005297209,0.9583835601806641,1.5300511785328013,0.8471851682640227
73,0.8549709729850292,1.0,1.2019911189813193,0.0
74,0.7924640129009882,1.0,1.2450099326843738,0.0
