Id,language,meaning,ofto_error_count,Spell,Article_a_an_error_count,sva_error_count,RuleRepeatedLinkWords_error_count,Verbform_error_count,noun_error_count,Article_error_count,AdjAdv_error_count,Wordform_error_count,VerbCollocation_error_count,ppl-ref,ppl-ref_pos,ppl-ref_prod,ppl-ref_dep,ppl-prompt,ppl-prompt_pos,ppl-correct,ppl-correct_pos,ppl-correct_prod,ppl-correct_dep,ppl-ge,ppl-ge_pos,ppl-incorrect,ppl-incorrect_pos,ppl-incorrect_prod,ppl-incorrect_dep,maxsim_15_skip,maxsim_30_skip,maxsim_50_skip,maxsim_15_cbw,maxsim_30_cbw,maxsim_50_cbw,lda_sim-min,ngram_match,ngram_match-lem,ngram_unseen-1,ngram_unseen-2,ngram_unseen-3,error_count,parse_score-ratio,length_ratio,length_01,length_unknown,length_unknown-ratio,length_sounds,length_sounds-ratio,prompt_missing,prompt_missing-pct,prompt_DT,prompt_IN,prompt_MD,prompt_NN,prompt_VB
10,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.27901,-8.916824,-16.20805,-35.09901,-4.115088,-10.089739999999999,-36.96982,-5.688728,-14.82969,-34.82249,-34.46865,-46.023959999999995,-31.034370000000003,-22.01071,-14.76883,-32.2205,0.9862839342159272,0.9768972242549252,0.9786135778200076,0.9479142604105149,0.9323386688602828,0.9505370417558008,0.2692143515684899,2.7857142857099997,2.7857142857099997,0.428571428571,0.714285714286,1.0,0.0,1.4211785566100001,0.838081010608,1,0.0,0.0,8.0,0.0,3.0,0.6,0.0,1.0,0.0,1.0,0.0
12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.43986,-4.680683999999999,-7.765700999999999,-10.941360000000001,-1.681241,-1.681241,-19.682029999999997,-3.941899,-6.671805,-9.949282,-17.22823,-22.70797,-15.56454,-16.16658,-6.724488000000001,-9.205855999999999,0.04777797519210114,0.3019027995688665,0.309291553767001,0.047073363671258465,0.3023119953620335,0.309765344505383,0.01251859105630008,0.33333333333299997,0.666666666667,0.5,1.0,1.0,0.0,1.2205801517200001,0.45241463956100003,1,0.0,0.0,2.0,1.0,3.0,0.75,0.0,0.0,0.0,1.0,0.0
16,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.9543,-16.32769,-23.70531,-24.48222,-1.80618,-2.70927,-22.74803,-10.62255,-19.67361,-24.8732,-24.6508,-36.697559999999996,-21.37796,-22.43587,-19.11436,-23.01464,0.8167419630357083,0.8557221198346121,0.8495999062682629,0.8169216158123095,0.8558216211496383,0.8497511386127997,0.6262842596807642,2.5,2.5,0.4,0.6,1.0,0.0,2.56628020262,1.2136916739799999,1,0.0,0.0,5.0,1.0,1.0,0.33333333333299997,0.0,0.0,0.0,0.0,0.0
18,0,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-50.87876,-16.70426,-15.70531,-31.67595,-4.744465,-4.446825,-39.38196,-12.93518,-15.26525,-29.84785,-35.225609999999996,-41.36076,-32.92552,-24.4882,-14.153279999999999,-27.61757,0.9995365270990636,0.9995498689803448,0.999647167113898,0.9985636617007624,0.9984131028756008,0.9982748919387959,0.07268975858977247,1.2772277227700002,1.2772277227700002,0.666666666667,1.0,1.0,0.0,1.09496838084,0.699124629156,1,0.0,0.0,7.0,0.0,4.0,0.8,1.0,0.0,0.0,1.0,0.0
23,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-22.17184,-5.146255,-9.131722,-19.221770000000003,-2.028481,-2.1301900000000002,-18.38287,-3.3496650000000003,-7.875435,-24.8732,-27.297359999999998,-36.697559999999996,-16.972520000000003,-19.36294,-9.015525,-23.01464,1.0,1.0,1.0000000000000004,1.0,1.0000000000000002,1.0000000000000004,0.8255744448872967,5.75,5.75,0.0,0.2,1.0,0.0,2.04241103838,1.12589247702,1,0.0,0.0,5.0,1.0,2.0,0.33333333333299997,0.0,0.0,0.0,0.0,1.0
47,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.152479999999997,-1.7466099999999998,-3.5697120000000004,-5.6216919999999995,-0.7132105,-1.7274509999999998,-16.515060000000002,-1.514334,-2.9058479999999998,-4.974641,-16.062820000000002,-18.04477,-15.204189999999999,-15.13807,-2.973481,-4.6029279999999995,0.0,0.05581851865251874,0.050478365776688384,0.0,0.05580100647714032,0.05152653313218298,0.1414213562373095,0.0,0.0,1.0,1.0,1.0,0.0,0.5168104310849999,0.22517849540399998,1,0.0,0.0,1.0,1.0,6.0,1.0,1.0,0.0,0.0,1.0,1.0
50,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.24509,-3.094384,-15.31259,-12.195730000000001,-2.440661,-3.121903,-20.00439,-2.624459,-13.79756,-19.89856,-18.7195,-32.03436,-16.203039999999998,-17.03185,-13.357560000000001,-18.41171,0.6480888622174784,0.6572581662470719,0.719542040759196,0.6474461376567704,0.6568417936341977,0.7151995491307239,0.0,1.5,1.5,0.5,1.0,1.0,0.0,1.7288216331,0.900713981618,1,0.0,0.0,4.0,1.0,4.0,0.666666666667,1.0,0.0,0.0,1.0,1.0
57,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.731360000000002,-8.625586,-13.89896,-18.42455,-1.6827470000000002,-1.6827470000000002,-20.327779999999997,-6.5374,-8.26855,-19.89856,-23.22685,-32.03436,-18.96125,-21.3226,-9.59994,-18.41171,0.8592001250707839,0.8192131664184855,0.7670727400560741,0.8591918926928604,0.8191701955957748,0.7670554912318209,0.5123685404797516,5.0,5.0,0.25,0.5,1.0,0.0,1.3830288517200002,0.699754904132,1,0.0,0.0,4.0,1.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0
65,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.534459999999996,-8.167794,-10.256780000000001,-10.39911,-2.0323279999999997,-2.333358,-24.90134,-6.31959,-9.516033,-14.92392,-23.43473,-27.371159999999996,-21.053060000000002,-18.32524,-8.793609,-13.808779999999999,0.5466262986166823,0.5821648186287852,0.4488822494609609,0.5404130303915406,0.5766375492348482,0.4385996662753567,0.0,0.46153846153800004,0.46153846153800004,0.666666666667,1.0,1.0,0.0,0.6349329172020001,0.486343168064,1,0.0,0.0,3.0,1.0,6.0,0.8571428571430001,0.0,1.0,1.0,1.0,1.0
66,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.375840000000004,-7.811964,-9.509841,-14.44629,-2.263144,-5.19263,-20.34881,-6.387398999999999,-11.205810000000001,-29.84785,-35.200759999999995,-41.36076,-18.90031,-21.84916,-12.63413,-27.61757,0.9936365786670732,0.9963631414567546,0.9904280106508356,0.9929882317327716,0.9795132390379634,0.9728411614790348,0.3039359462685101,7.448979591839999,7.448979591839999,0.33333333333299997,0.5,1.0,0.0,1.1982138778799998,0.7134581632439999,1,0.0,0.0,6.0,1.0,2.0,0.4,1.0,0.0,0.0,1.0,0.0
