Id,language,meaning,ofto_error_count,Spell,Article_a_an_error_count,sva_error_count,RuleRepeatedLinkWords_error_count,Verbform_error_count,noun_error_count,Article_error_count,AdjAdv_error_count,Wordform_error_count,VerbCollocation_error_count,ppl-ref,ppl-ref_pos,ppl-ref_prod,ppl-ref_dep,ppl-prompt,ppl-prompt_pos,ppl-correct,ppl-correct_pos,ppl-correct_prod,ppl-correct_dep,ppl-ge,ppl-ge_pos,ppl-incorrect,ppl-incorrect_pos,ppl-incorrect_prod,ppl-incorrect_dep,maxsim_15_skip,maxsim_30_skip,maxsim_50_skip,maxsim_15_cbw,maxsim_30_cbw,maxsim_50_cbw,lda_sim-min,ngram_match,ngram_match-lem,ngram_unseen-1,ngram_unseen-2,ngram_unseen-3,error_count,parse_score-ratio,length_ratio,length_01,length_unknown,length_unknown-ratio,length_sounds,length_sounds-ratio,prompt_missing,prompt_missing-pct,prompt_DT,prompt_IN,prompt_MD,prompt_NN,prompt_VB
5835,1,1,0,0,0,0,0,0,0,0,0,0,0,-21.83006,-3.8330050000000004,-7.559773,-16.47542,-1.939085,-1.9523119999999998,-18.33225,-2.9216860000000002,-7.316639,-24.8732,-29.91116,-36.697559999999996,-15.21522,-16.82266,-7.905216,-23.01464,1.0,0.9999999999999996,1.0,1.0,1.0000000000000002,1.0000000000000002,0.6636677568696936,12.0,12.0,0.0,0.2,1.0,0.0,0.9816584049629999,0.59787352883,1,0.0,0.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5836,1,1,0,0,0,0,0,0,0,0,0,0,0,-21.82402,-2.614898,-4.964493,-8.637003,-1.7558369999999999,-1.7558369999999999,-17.326179999999997,-2.526193,-4.1028519999999995,-9.949282,-20.72568,-22.70797,-15.161929999999998,-16.670939999999998,-4.1602440000000005,-9.205855999999999,0.99834896782621,0.9978104840937958,0.9974148384299608,0.9952785890944804,0.99323436582258,0.9914197430956428,0.9612563242274359,3.0,3.0,0.0,0.5,1.0,0.0,0.5469574399580001,0.30385587677700004,1,0.0,0.0,2,1,1.0,0.33333333333299997,1.0,0.0,0.0,0.0,0.0
5837,0,0,0,0,0,0,0,0,0,0,0,0,0,-21.6037,-1.7466099999999998,-3.5697120000000004,-5.620696,-0.8779184999999999,-1.691972,-17.137520000000002,-1.514334,-2.9058479999999998,-4.974641,-16.062820000000002,-18.04477,-15.204189999999999,-15.13807,-2.973481,-4.6029279999999995,0.0,0.03224532457874699,0.0,0.0,0.0583992786153197,0.0,0.1414213562373095,0.0,0.0,1.0,1.0,1.0,1.0,0.303122524209,0.151927938389,1,0.0,0.0,2,0,3.0,1.0,1.0,0.0,0.0,1.0,0.0
5839,1,1,0,0,0,0,0,0,0,0,0,0,0,-23.63733,-5.049497,-20.500770000000003,-25.60679,-13.32629,-12.87147,-18.17494,-3.5778440000000002,-19.00378,-39.797129999999996,-31.038459999999997,-48.61588,-17.6399,-18.59329,-18.15585,-36.82343,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,0.8255658727922013,10.8,10.8,0.0,0.125,1.0,0.0,0.04709081467,1.09124754599,1,0.0,0.0,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5840,1,1,0,0,0,0,0,0,0,0,0,0,0,-26.8768,-5.523204,-14.30301,-21.88172,-6.891703,-7.050066,-17.07133,-2.996257,-10.72402,-19.89856,-23.683310000000002,-32.03436,-15.143320000000001,-19.08093,-10.63716,-18.41171,0.9999999999999998,1.0000000000000002,1.0,0.9999999999999998,1.0000000000000002,1.0,0.9931323826842822,4.5,4.5,0.0,0.25,1.0,0.0,1.3552389242299998,0.55933412978,1,0.0,0.0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5841,0,0,0,0,0,0,0,0,0,0,0,0,0,-30.2713,-10.51875,-16.77846,-21.88172,-8.252237,-2.574031,-22.05067,-7.559238000000001,-12.474639999999999,-19.89856,-21.30283,-32.03436,-15.251270000000002,-19.16676,-11.49019,-18.41171,0.8320489822937216,0.8730362688820862,0.8715976480515973,0.8305712893948284,0.8734715065450799,0.8720500856399364,0.07080601842705625,4.25,4.25,0.25,0.5,1.0,0.0,0.9262309338249999,0.49921924047,1,0.0,0.0,4,1,1.0,0.25,0.0,0.0,0.0,0.0,0.0
5842,1,1,0,0,0,0,0,0,0,0,0,0,0,-24.59466,-3.597663,-7.2106770000000004,-14.82585,-1.863882,-1.863882,-18.889860000000002,-3.1290270000000002,-7.7121699999999995,-19.89856,-27.110740000000003,-29.963079999999998,-16.1213,-20.01647,-8.853169,-18.41171,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,1.0,0.9765900025189224,9.0,9.0,0.0,0.25,1.0,0.0,0.9524638842569999,0.527049381363,1,0.0,0.0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5843,1,1,0,0,0,0,0,0,0,0,0,0,0,-25.729670000000002,-4.302122,-17.40138,-19.50565,-2.965113,-2.586852,-19.40725,-3.592289,-17.422220000000003,-34.82249,-32.324009999999994,-43.95268,-17.97964,-21.003410000000002,-18.426460000000002,-32.2205,0.9999999999999998,1.0000000000000002,1.0,1.0,0.9999999999999996,1.0,0.9763640233151764,10.4653465347,10.4653465347,0.0,0.14285714285700002,1.0,0.0,1.69555950664,0.9223364173849999,1,0.0,0.0,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5844,0,1,0,0,0,0,0,0,0,0,0,0,0,-32.4004,-5.754277,-26.869259999999997,-22.900679999999998,-2.965113,-3.6232330000000004,-24.05725,-6.464219,-25.56506,-29.84785,-30.21446,-39.28948,-19.947879999999998,-22.36413,-25.162129999999998,-27.61757,0.9999673837290676,0.9999839711886908,0.9999915480641086,0.9999705580381404,0.9999849403885736,0.9999915253157108,0.32019326196636205,8.133663366339999,8.133663366339999,0.0,0.33333333333299997,1.0,0.0,1.3580426918700002,0.793303559924,1,0.0,0.0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5845,1,1,0,0,1,0,0,0,0,0,0,0,0,-22.43732,-5.866916000000001,-26.7709,-31.5941,-3.043645,-2.948216,-19.48133,-5.194119000000001,-26.25437,-49.74641,-40.14685,-57.942280000000004,-21.67805,-23.495620000000002,-25.57767,-46.02928,1.0,1.0,1.0,1.0,1.0,1.0,0.9437033664101075,18.2857142857,18.2857142857,0.0,0.1,1.0,0.0,0.44926727581299997,1.04262110315,1,1.0,0.1,10,1,2.0,0.222222222222,0.0,0.0,0.0,0.0,1.0
