Id,RecResult,Confidence
10,i want a room for one week,1.0 1.0 1.0 1.0 1.0 1.0 1.0
12,is janet,0.87 0.33
13,my name is nick,1.0 1.0 1.0 0.97
14,i am from canada,1.0 1.0 1.0 0.54
15,my name is stephanie,1.0 1.0 1.0 1.0
17,i am from austria austria,0.95 0.95 1.0 0.85 1.0
18,can night steak uh tickets for trafalgar scar,0.49 0.65 0.99 0.79 0.95 0.95 1.0 1.0
19,i need a ticket to trafalgar square,1.0 1.0 1.0 1.0 1.0 1.0 0.56
20,i want i want which visa buy,1.0 1.0 1.0 1.0 0.76 1.0 0.54
22,i want suite leave a pay,1.0 1.0 0.84 0.48 0.47 0.53
23,a,0.54
24,i want the steak,0.8 0.66 0.56 0.95
25,i don't have a reservation,1.0 1.0 1.0 0.98 1.0
26,i don't have a reservation,1.0 1.0 1.0 0.98 1.0
43,a room for two nights,1.0 1.0 1.0 1.0 1.0
44,yes,1.0
48,i have no reservation,1.0 0.99 0.73 1.0
51,my name is silvia,1.0 0.73 0.73 0.95
52,i'm from switzerland,0.94 1.0 1.0
53,the,0.99
54,the capital from switzerland is bern,1.0 1.0 0.56 1.0 1.0 1.0
55,i have four brothers,1.0 1.0 1.0 0.99
56,i go into holidays o'clock in the holidays,1.0 0.54 0.87 0.94 0.63 0.79 0.9 0.87
57,there is my passport,0.98 1.0 1.0 1.0
58,a ticket to nothing hill,1.0 1.0 1.0 0.54 1.0
59,a ticket to notting hill,1.0 1.0 1.0 0.85 1.0
60,i need a ticket to notting hill,1.0 1.0 1.0 1.0 1.0 0.99 1.0
61,i want pay with visa,1.0 0.99 1.0 1.0 1.0
62,i would like pay with visa,1.0 1.0 1.0 1.0 1.0 1.0
63,i would like pay with dollars,1.0 1.0 1.0 1.0 1.0 1.0
64,i want pay with dollars,1.0 0.58 1.0 1.0 0.98
65,i will buy john,1.0 0.67 0.88 0.33
66,i want a room for five nights please,0.81 0.86 0.73 0.72 1.0 1.0 1.0 1.0
68,a single room,1.0 1.0 0.85
69,a single room please,1.0 1.0 1.0 1.0
70,i want pay with the post card,1.0 0.99 1.0 1.0 0.83 0.99 0.99
71,i want pay with post card,1.0 1.0 1.0 1.0 0.93 0.93
72,i would like to pay by post card,1.0 1.0 1.0 0.78 1.0 1.0 1.0 1.0
73,is there a hotel restaurant,1.0 1.0 1.0 1.0 1.0
